id,value
id_0,25.771044976
id_1,61.7181113183
id_2,18.2498734104
id_3,29.9588274785
id_4,8.9202831353
id_5,33.4211596804
id_6,41.360134577
id_7,16.9952939391
id_8,48.5299432625
id_9,32.521840646
id_10,38.2611457375
id_11,60.6053792275
id_12,36.1011144987
id_13,42.3655710729
id_14,26.8806201852
id_15,12.1544890594
id_16,52.5969647254
id_17,22.7702930177
id_18,17.8822444522
id_19,18.7955180351
id_20,14.3158362672
id_21,30.9088774143
id_22,37.247551907
id_23,11.6444960248
id_24,60.9924026522
id_25,46.7959623312
id_26,29.0491482988
id_27,8.38322045605
id_28,28.4113098456
id_29,35.8016238174
id_30,17.9990559043
id_31,10.8919220148
id_32,16.2481520927
id_33,7.89756423456
id_34,16.4329895521
id_35,41.0189649889
id_36,20.801432512
id_37,27.6338520447
id_38,9.71075774854
id_39,57.7308852077
id_40,47.1795804078
id_41,20.187555872
id_42,51.066626169
id_43,17.3268198911
id_44,44.5719528627
id_45,50.4628960289
id_46,57.372560188
id_47,40.6872259008
id_48,56.2666805725
id_49,40.2274273039
id_50,29.1634168498
id_51,24.3416812573
id_52,39.8675882454
id_53,24.0882021059
id_54,36.6257079487
id_55,39.4025386882
id_56,23.5639190221
id_57,20.5481483448
id_58,36.8957519251
id_59,30.8627461279
id_60,13.8519523945
id_61,20.3248896208
id_62,31.6353542097
id_63,53.4161374845
id_64,51.0578794844
id_65,24.9844559095
id_66,39.7592131148
id_67,51.3646598812
id_68,29.3804601122
id_69,37.6464179819
id_70,65.9518376194
id_71,55.4761350513
id_72,43.7300373983
id_73,13.2296844752
id_74,13.7381466568
id_75,36.0979046294
id_76,60.0701417172
id_77,4.24344199246
id_78,43.193906818
id_79,43.8136290663
id_80,8.71656466177
id_81,23.7879173127
id_82,6.00817433872
id_83,32.8891196038
id_84,10.1313867196
id_85,5.23365330263
id_86,16.2912660111
id_87,11.8513407251
id_88,17.6100700457
id_89,26.5837061418
id_90,33.066961578
id_91,13.0016442879
id_92,13.2312711315
id_93,9.97010696405
id_94,36.6797440637
id_95,14.793625123
id_96,17.4215695041
id_97,11.3008931885
id_98,9.2431307744
id_99,4.96768667366
id_100,11.2008587982
id_101,18.9691608151
id_102,10.7951915344
id_103,8.37568066942
id_104,11.0246300013
id_105,37.1475000572
id_106,25.4478463937
id_107,8.0758944774
id_108,18.0763622378
id_109,15.4422823681
id_110,11.9777186532
id_111,15.4346154552
id_112,15.4761837429
id_113,26.6340216257
id_114,19.6807571171
id_115,16.0074081151
id_116,7.21301426292
id_117,44.7435564921
id_118,28.1056819589
id_119,1.03044268297
id_120,1.08192216319
id_121,10.2872426983
id_122,12.8965679512
id_123,13.3272883406
id_124,8.15381622246
id_125,24.0277581902
id_126,23.5799356926
id_127,10.3804528853
id_128,19.9526761132
id_129,15.5364144948
id_130,2.82092782416
id_131,33.6361692368
id_132,14.226546866
id_133,21.6836974357
id_134,26.2649064435
id_135,23.246990535
id_136,8.921597885
id_137,21.477173372
id_138,81.661381941
id_139,61.9268661923
id_140,26.0240560408
id_141,17.5786093051
id_142,24.9759825742
id_143,7.29556574423
id_144,11.9708169764
id_145,9.63631339281
id_146,18.4184070404
id_147,6.19489329628
id_148,13.0400241911
id_149,16.2037598813
id_150,50.333914969
id_151,22.6273311868
id_152,21.9534622807
id_153,15.5279981493
id_154,13.6871888322
id_155,24.0086775905
id_156,25.0716896366
id_157,37.2719266548
id_158,5.2096293759
id_159,23.2446060977
id_160,45.2416574849
id_161,18.7174900533
id_162,63.0949413695
id_163,16.1403621261
id_164,34.5692620955
id_165,23.7286527371
id_166,28.1276794553
id_167,2.96068164301
id_168,69.0189622958
id_169,18.0138232469
id_170,15.2390215042
id_171,71.7098021999
id_172,21.7723238358
id_173,2.39996832324
id_174,21.6276638025
id_175,3.35333335242
id_176,8.34730213971
id_177,18.9480457785
id_178,20.5881638271
id_179,24.5773533633
id_180,41.4754905299
id_181,32.7728987332
id_182,27.492027238
id_183,12.8865293349
id_184,7.10730243314
id_185,42.1613414319
id_186,35.9232355737
id_187,34.2854593741
id_188,16.1377264184
id_189,24.3873583476
id_190,13.0604244386
id_191,13.7213016172
id_192,29.9485887388
id_193,76.8795913137
id_194,30.1004842069
id_195,11.3692824883
id_196,61.7033750171
id_197,15.7436703631
id_198,19.0203510394
id_199,22.5985159794
id_200,126.686007114
id_201,25.0521302407
id_202,60.8766614432
id_203,5.66007070888
id_204,60.3459801033
id_205,35.4070640406
id_206,15.364274811
id_207,14.3005048345
id_208,61.1587029069
id_209,14.320952317
id_210,35.4282936462
id_211,69.3870487137
id_212,17.4814120268
id_213,114.784132854
id_214,42.7426961798
id_215,79.5826886672
id_216,95.301418459
id_217,70.7583605229
id_218,27.9660575185
id_219,20.9604108017
id_220,30.499618033
id_221,56.6358442473
id_222,27.8773871109
id_223,38.407550175
id_224,41.6065477532
id_225,9.87305005488
id_226,4.59587719437
id_227,83.2049628562
id_228,28.9205709505
id_229,1.70719626338
id_230,38.9330731877
id_231,16.775774768
id_232,22.4331888506
id_233,7.99299956346
id_234,11.3611215431
id_235,23.1906231639
id_236,13.8994505928
id_237,4.11170942553
id_238,20.9959347458
id_239,12.2263191996
