id,value
id_0,26.1228662393
id_1,62.0103998613
id_2,18.6212773911
id_3,29.6597495875
id_4,9.01094375666
id_5,32.4181712325
id_6,40.1785595066
id_7,17.0127067506
id_8,48.9215689373
id_9,32.1507776299
id_10,35.5387405704
id_11,59.5905352565
id_12,36.7684968871
id_13,41.1488045045
id_14,28.4833872902
id_15,10.8294798505
id_16,51.6453446789
id_17,22.5647097168
id_18,17.613653612
id_19,18.9635269243
id_20,14.6129807016
id_21,31.9908001104
id_22,38.3685891342
id_23,11.5153312036
id_24,59.4491632094
id_25,46.0095521151
id_26,24.9576719051
id_27,7.48029654727
id_28,27.4600174436
id_29,34.8811545443
id_30,18.757131805
id_31,11.6108600089
id_32,17.4499115953
id_33,7.99204804783
id_34,16.3942747509
id_35,39.3193337171
id_36,21.4684642637
id_37,27.264806828
id_38,9.30893172608
id_39,56.2079644365
id_40,45.876074175
id_41,19.1425606498
id_42,52.256401516
id_43,17.6428955257
id_44,43.2924881585
id_45,51.0108089334
id_46,57.3999157352
id_47,40.6798152231
id_48,55.9569792758
id_49,40.5656833973
id_50,29.8981791354
id_51,24.6169486642
id_52,40.0756959944
id_53,24.8738820582
id_54,35.7026616408
id_55,37.7925016371
id_56,23.4313673132
id_57,20.2447058536
id_58,36.7780437693
id_59,30.739044251
id_60,14.1148960305
id_61,25.5395346331
id_62,28.7892662044
id_63,51.6190569005
id_64,50.3370241425
id_65,24.6440928132
id_66,39.4074990819
id_67,52.8863473459
id_68,28.3587796445
id_69,36.652614687
id_70,66.7943087283
id_71,56.5099517477
id_72,43.7668491317
id_73,13.4150838213
id_74,11.949585571
id_75,35.8044847393
id_76,58.9336015097
id_77,3.1873195654
id_78,44.2422294737
id_79,43.6312721911
id_80,8.62412372929
id_81,23.3050731267
id_82,5.37752143854
id_83,31.4549769183
id_84,8.43198317938
id_85,1.3784645347
id_86,17.5856896811
id_87,12.7727163834
id_88,14.9069153773
id_89,26.4993599017
id_90,33.6401478362
id_91,15.1837955046
id_92,12.166270811
id_93,11.3242484294
id_94,35.6150031657
id_95,14.5147747219
id_96,16.2561474499
id_97,10.6577194013
id_98,9.00620424829
id_99,4.10406531717
id_100,10.9605499323
id_101,17.8719184333
id_102,11.5686071602
id_103,8.29010897494
id_104,11.5800863679
id_105,37.1657328147
id_106,26.25065414
id_107,6.62733115815
id_108,16.2473470249
id_109,15.1966339011
id_110,10.8529238977
id_111,16.2030769774
id_112,15.0078527598
id_113,25.7409266159
id_114,19.7661530729
id_115,15.4382753393
id_116,7.41994748747
id_117,43.1528952959
id_118,28.1544651305
id_119,0.785755268172
id_120,1.94306583453
id_121,11.8810838812
id_122,13.2158405621
id_123,14.3844170288
id_124,7.74589717937
id_125,24.2060247463
id_126,23.5129926064
id_127,10.5092723633
id_128,20.0680118581
id_129,15.4354836092
id_130,3.32752841257
id_131,32.744040764
id_132,14.802952895
id_133,22.9268025069
id_134,26.0310351962
id_135,23.5633462316
id_136,8.7992626306
id_137,20.9263034694
id_138,80.1050252496
id_139,62.9956840954
id_140,25.9278261251
id_141,19.2754657221
id_142,23.8857052113
id_143,7.74487324397
id_144,11.4121294778
id_145,9.60891943924
id_146,19.3235332696
id_147,7.10045751497
id_148,10.1467443977
id_149,15.5443388052
id_150,49.667305647
id_151,20.5133196182
id_152,21.2912398352
id_153,13.6533356617
id_154,12.4660780882
id_155,23.3853228106
id_156,23.305806983
id_157,36.8688175837
id_158,3.61533946415
id_159,22.0830336822
id_160,45.0945608054
id_161,18.2121753917
id_162,64.8572331686
id_163,16.735145039
id_164,34.2260382651
id_165,23.0535677159
id_166,23.873655122
id_167,2.62685600662
id_168,70.06134524
id_169,16.6431767532
id_170,16.1422452819
id_171,73.216277261
id_172,26.0940777644
id_173,3.31565419216
id_174,22.4723887034
id_175,2.43426136921
id_176,6.54447264322
id_177,18.8397052177
id_178,20.2345998595
id_179,25.9400055628
id_180,41.2848814906
id_181,33.2019830099
id_182,28.0314400854
id_183,12.7414275001
id_184,8.67733471818
id_185,41.3252353895
id_186,35.0892764546
id_187,33.409967398
id_188,14.9988610567
id_189,25.1854838921
id_190,12.8923911051
id_191,14.2771307462
id_192,30.1119269841
id_193,77.4084405195
id_194,31.8864492345
id_195,11.4502908577
id_196,62.8482792193
id_197,15.3179026936
id_198,19.1830762389
id_199,21.7768564306
id_200,120.64749767
id_201,23.4190418666
id_202,59.2665552204
id_203,5.36533671914
id_204,59.5282103604
id_205,35.2417565728
id_206,16.3248657331
id_207,14.8657031008
id_208,60.7850006958
id_209,15.6697322921
id_210,37.1308304469
id_211,70.2124057053
id_212,19.0482178535
id_213,117.253836294
id_214,42.8074385515
id_215,80.1793609011
id_216,91.497722412
id_217,68.4816326981
id_218,28.9640586404
id_219,21.1576467122
id_220,30.4575909686
id_221,55.0143988365
id_222,27.7562093418
id_223,37.5690767324
id_224,40.9645105241
id_225,9.9600027288
id_226,6.4130152716
id_227,81.570746615
id_228,28.5235602266
id_229,2.13433759895
id_230,38.7211496118
id_231,15.0852058755
id_232,22.4821709731
id_233,8.39173690248
id_234,12.1375857395
id_235,23.6559800493
id_236,13.4372302356
id_237,2.62507645008
id_238,20.9619020232
id_239,9.40149396053
